AAA278I18.genome.CDS.1878,group01675
AAA278I18.genome.CDS.1175,group00419
AAA278I18.genome.CDS.1174,group00148
AAA278I18.genome.CDS.1278,group01164
AAA278I18.genome.CDS.1279,group00223
AAA278I18.genome.CDS.1171,group00055
AAA278I18.genome.CDS.1170,group00046
AAA278I18.genome.CDS.1173,group00092
AAA278I18.genome.CDS.1172,group00093
AAA278I18.genome.CDS.1272,group01080
AAA278I18.genome.CDS.1273,group00117
AAA278I18.genome.CDS.1270,group00910
AAA278I18.genome.CDS.1271,group00683
AAA278I18.genome.CDS.1179,group01055
AAA278I18.genome.CDS.1277,group00319
AAA278I18.genome.CDS.1274,group00869
AAA278I18.genome.CDS.1509,group01454
AAA278I18.genome.CDS.1144,group01408
AAA278I18.genome.CDS.1078,group00150
AAA278I18.genome.CDS.1079,group00082
AAA278I18.genome.CDS.1633,group00870
AAA278I18.genome.CDS.1074,group00151
AAA278I18.genome.CDS.1075,group00095
AAA278I18.genome.CDS.1076,group00976
AAA278I18.genome.CDS.1077,group00129
AAA278I18.genome.CDS.1070,group00274
AAA278I18.genome.CDS.1146,group01245
AAA278I18.genome.CDS.1072,group00273
AAA278I18.genome.CDS.1073,group00208
AAA278I18.genome.CDS.1188,group01027
AAA278I18.genome.CDS.1189,group00374
AAA278I18.genome.CDS.1147,group00013
AAA278I18.genome.CDS.1180,group00259
AAA278I18.genome.CDS.1181,group01211
AAA278I18.genome.CDS.1182,group00579
AAA278I18.genome.CDS.1183,group00596
AAA278I18.genome.CDS.1184,group00734
AAA278I18.genome.CDS.1185,group00774
AAA278I18.genome.CDS.1186,group00689
AAA278I18.genome.CDS.1187,group00521
AAA278I18.genome.CDS.1634,group00752
AAA278I18.genome.CDS.1143,group01499
AAA278I18.genome.CDS.1009,group04683
AAA278I18.genome.CDS.1008,group00218
AAA278I18.genome.CDS.1463,group00609
AAA278I18.genome.CDS.1001,group00012
AAA278I18.genome.CDS.1000,group00392
AAA278I18.genome.CDS.1003,group00471
AAA278I18.genome.CDS.1816,group00723
AAA278I18.genome.CDS.1005,group00674
AAA278I18.genome.CDS.1004,group00699
AAA278I18.genome.CDS.1007,group00407
AAA278I18.genome.CDS.1006,group00249
AAA278I18.genome.CDS.1665,group00383
AAA278I18.genome.CDS.1200,group00941
AAA278I18.genome.CDS.1667,group00942
AAA278I18.genome.CDS.1196,group04711
AAA278I18.genome.CDS.1478,group00577
AAA278I18.genome.CDS.1195,group04712
AAA278I18.genome.CDS.1879,group01015
AAA278I18.genome.CDS.1749,group00458
AAA278I18.genome.CDS.1242,group00356
AAA278I18.genome.CDS.1193,group00551
AAA278I18.genome.CDS.1219,group00230
AAA278I18.genome.CDS.1207,group04719
AAA278I18.genome.CDS.1589,group00065
AAA278I18.genome.CDS.1191,group00550
AAA278I18.genome.CDS.1662,group00177
AAA278I18.genome.CDS.1557,group00197
AAA278I18.genome.CDS.1556,group00664
AAA278I18.genome.CDS.1555,group00672
AAA278I18.genome.CDS.1554,group00632
AAA278I18.genome.CDS.1553,group00278
AAA278I18.genome.CDS.1552,group00210
AAA278I18.genome.CDS.1551,group00783
AAA278I18.genome.CDS.1550,group00651
AAA278I18.genome.CDS.441,group02229
AAA278I18.genome.CDS.528,group01761
AAA278I18.genome.CDS.1740,group00098
AAA278I18.genome.CDS.1559,group00330
AAA278I18.genome.CDS.1558,group00514
AAA278I18.genome.CDS.1661,group00301
AAA278I18.genome.CDS.1746,group00244
AAA278I18.genome.CDS.1513,group01470
AAA278I18.genome.CDS.1211,group04717
AAA278I18.genome.CDS.1953,group00464
AAA278I18.genome.CDS.1952,group00923
AAA278I18.genome.CDS.1951,group02795
AAA278I18.genome.CDS.1950,group00452
AAA278I18.genome.CDS.1409,group00524
AAA278I18.genome.CDS.1956,group04720
AAA278I18.genome.CDS.1955,group01873
AAA278I18.genome.CDS.1954,group00283
AAA278I18.genome.CDS.1959,group00464
AAA278I18.genome.CDS.1745,group01004
AAA278I18.genome.CDS.1660,group00051
AAA278I18.genome.CDS.1283,group00256
AAA278I18.genome.CDS.1002,group00453
AAA278I18.genome.CDS.1282,group00593
AAA278I18.genome.CDS.1512,group00034
AAA278I18.genome.CDS.1302,group00371
AAA278I18.genome.CDS.1303,group00295
AAA278I18.genome.CDS.1300,group00793
AAA278I18.genome.CDS.1301,group00247
AAA278I18.genome.CDS.1306,group00591
AAA278I18.genome.CDS.1307,group00630
AAA278I18.genome.CDS.1304,group00334
AAA278I18.genome.CDS.1305,group00170
AAA278I18.genome.CDS.1308,group00485
AAA278I18.genome.CDS.1309,group00143
AAA278I18.genome.CDS.1636,group04688
AAA278I18.genome.CDS.1827,group00656
AAA278I18.genome.CDS.1826,group00187
AAA278I18.genome.CDS.1825,group00061
AAA278I18.genome.CDS.1824,group00265
AAA278I18.genome.CDS.1823,group00825
AAA278I18.genome.CDS.1822,group00045
AAA278I18.genome.CDS.1821,group00637
AAA278I18.genome.CDS.1820,group01031
AAA278I18.genome.CDS.1416,group04721
AAA278I18.genome.CDS.1417,group04722
AAA278I18.genome.CDS.1414,group00958
AAA278I18.genome.CDS.1415,group01413
AAA278I18.genome.CDS.1622,group00587
AAA278I18.genome.CDS.1898,group00693
AAA278I18.genome.CDS.1410,group00181
AAA278I18.genome.CDS.1828,group00207
AAA278I18.genome.CDS.1716,group00871
AAA278I18.genome.CDS.1788,group00411
AAA278I18.genome.CDS.1789,group00369
AAA278I18.genome.CDS.1786,group00054
AAA278I18.genome.CDS.1787,group00165
AAA278I18.genome.CDS.1784,group00262
AAA278I18.genome.CDS.1785,group00028
AAA278I18.genome.CDS.1782,group00070
AAA278I18.genome.CDS.1322,group00998
AAA278I18.genome.CDS.1780,group00261
AAA278I18.genome.CDS.1781,group04692
AAA278I18.genome.CDS.1236,group00787
AAA278I18.genome.CDS.1237,group00434
AAA278I18.genome.CDS.1234,group02047
AAA278I18.genome.CDS.1288,group00951
AAA278I18.genome.CDS.1232,group01073
AAA278I18.genome.CDS.1233,group00859
AAA278I18.genome.CDS.1230,group01142
AAA278I18.genome.CDS.1231,group01774
AAA278I18.genome.CDS.1542,group00340
AAA278I18.genome.CDS.1238,group01723
AAA278I18.genome.CDS.1239,group01418
AAA278I18.genome.CDS.1049,group02012
AAA278I18.genome.CDS.1406,group00713
AAA278I18.genome.CDS.1033,group00132
AAA278I18.genome.CDS.1609,group01503
AAA278I18.genome.CDS.1608,group02367
AAA278I18.genome.CDS.1607,group01628
AAA278I18.genome.CDS.1606,group02157
AAA278I18.genome.CDS.1605,group02663
AAA278I18.genome.CDS.1604,group01969
AAA278I18.genome.CDS.1603,group01969
AAA278I18.genome.CDS.1602,group01969
AAA278I18.genome.CDS.1601,group01746
AAA278I18.genome.CDS.1600,group01969
AAA278I18.genome.CDS.1739,group00097
AAA278I18.genome.CDS.1738,group00062
AAA278I18.genome.CDS.1733,group01682
AAA278I18.genome.CDS.1732,group02671
AAA278I18.genome.CDS.1731,group02897
AAA278I18.genome.CDS.1730,group00460
AAA278I18.genome.CDS.1737,group00934
AAA278I18.genome.CDS.1736,group01564
AAA278I18.genome.CDS.1735,group00868
AAA278I18.genome.CDS.1734,group02240
AAA278I18.genome.CDS.1038,group00627
AAA278I18.genome.CDS.1635,group01011
AAA278I18.genome.CDS.1039,group00084
AAA278I18.genome.CDS.1045,group01501
AAA278I18.genome.CDS.1801,group01066
AAA278I18.genome.CDS.1047,group01562
AAA278I18.genome.CDS.1046,group01563
AAA278I18.genome.CDS.1041,group00188
AAA278I18.genome.CDS.1040,group00086
AAA278I18.genome.CDS.1043,group01758
AAA278I18.genome.CDS.1372,group00298
AAA278I18.genome.CDS.1122,group00518
AAA278I18.genome.CDS.1123,group00286
AAA278I18.genome.CDS.1120,group00162
AAA278I18.genome.CDS.1121,group00867
AAA278I18.genome.CDS.1126,group00556
AAA278I18.genome.CDS.1048,group01713
AAA278I18.genome.CDS.1124,group00107
AAA278I18.genome.CDS.1125,group00527
AAA278I18.genome.CDS.1370,group00494
AAA278I18.genome.CDS.1377,group00103
AAA278I18.genome.CDS.1585,group00548
AAA278I18.genome.CDS.1136,group00997
AAA278I18.genome.CDS.1804,group00114
AAA278I18.genome.CDS.1807,group00010
AAA278I18.genome.CDS.1336,group00474
AAA278I18.genome.CDS.1374,group00171
AAA278I18.genome.CDS.1809,group00540
AAA278I18.genome.CDS.1385,group00174
AAA278I18.genome.CDS.1379,group00039
AAA278I18.genome.CDS.1269,group01007
AAA278I18.genome.CDS.1473,group01258
AAA278I18.genome.CDS.1101,group00964
AAA278I18.genome.CDS.1330,group00308
AAA278I18.genome.CDS.1669,group00505
AAA278I18.genome.CDS.1543,group01532
AAA278I18.genome.CDS.1261,group00036
AAA278I18.genome.CDS.1109,group00332
AAA278I18.genome.CDS.1743,group00172
AAA278I18.genome.CDS.1199,group04709
AAA278I18.genome.CDS.1851,group00759
AAA278I18.genome.CDS.1423,group01573
AAA278I18.genome.CDS.1637,group00569
AAA278I18.genome.CDS.477,group00681
AAA278I18.genome.CDS.1933,group01032
AAA278I18.genome.CDS.1467,group00902
AAA278I18.genome.CDS.1466,group00673
AAA278I18.genome.CDS.1465,group00267
AAA278I18.genome.CDS.1464,group00350
AAA278I18.genome.CDS.1588,group00146
AAA278I18.genome.CDS.1462,group00229
AAA278I18.genome.CDS.1461,group00806
AAA278I18.genome.CDS.1460,group00123
AAA278I18.genome.CDS.1584,group00192
AAA278I18.genome.CDS.1935,group02661
AAA278I18.genome.CDS.1586,group00186
AAA278I18.genome.CDS.1587,group00013
AAA278I18.genome.CDS.1580,group00317
AAA278I18.genome.CDS.1581,group00765
AAA278I18.genome.CDS.1469,group00303
AAA278I18.genome.CDS.1583,group00246
AAA278I18.genome.CDS.975,group00078
AAA278I18.genome.CDS.974,group00195
AAA278I18.genome.CDS.977,group00900
AAA278I18.genome.CDS.976,group00168
AAA278I18.genome.CDS.971,group00182
AAA278I18.genome.CDS.1516,group01296
AAA278I18.genome.CDS.1515,group01549
AAA278I18.genome.CDS.1514,group01442
AAA278I18.genome.CDS.1519,group00983
AAA278I18.genome.CDS.1518,group00510
AAA278I18.genome.CDS.979,group00292
AAA278I18.genome.CDS.978,group00513
AAA278I18.genome.CDS.1908,group00557
AAA278I18.genome.CDS.1909,group00558
AAA278I18.genome.CDS.1860,group01759
AAA278I18.genome.CDS.1867,group04697
AAA278I18.genome.CDS.1866,group04698
AAA278I18.genome.CDS.1865,group01399
AAA278I18.genome.CDS.1864,group01382
AAA278I18.genome.CDS.1900,group00554
AAA278I18.genome.CDS.1901,group04704
AAA278I18.genome.CDS.1869,group01057
AAA278I18.genome.CDS.1903,group00760
AAA278I18.genome.CDS.1904,group00711
AAA278I18.genome.CDS.1905,group00850
AAA278I18.genome.CDS.1906,group00797
AAA278I18.genome.CDS.1907,group00391
AAA278I18.genome.CDS.999,group00275
AAA278I18.genome.CDS.998,group00354
AAA278I18.genome.CDS.1168,group00118
AAA278I18.genome.CDS.1251,group01545
AAA278I18.genome.CDS.993,group00250
AAA278I18.genome.CDS.992,group01097
AAA278I18.genome.CDS.991,group00245
AAA278I18.genome.CDS.990,group04685
AAA278I18.genome.CDS.997,group00134
AAA278I18.genome.CDS.996,group00159
AAA278I18.genome.CDS.995,group00160
AAA278I18.genome.CDS.941,group04715
AAA278I18.genome.CDS.1889,group00020
AAA278I18.genome.CDS.1888,group00395
AAA278I18.genome.CDS.1762,group00386
AAA278I18.genome.CDS.1763,group00439
AAA278I18.genome.CDS.1764,group00737
AAA278I18.genome.CDS.1765,group00141
AAA278I18.genome.CDS.1766,group01165
AAA278I18.genome.CDS.1767,group00379
AAA278I18.genome.CDS.1768,group00491
AAA278I18.genome.CDS.1769,group00291
AAA278I18.genome.CDS.1883,group00968
AAA278I18.genome.CDS.1882,group01919
AAA278I18.genome.CDS.1885,group00021
AAA278I18.genome.CDS.1884,group00501
AAA278I18.genome.CDS.1887,group01225
AAA278I18.genome.CDS.1886,group04700
AAA278I18.genome.CDS.1348,group00185
AAA278I18.genome.CDS.1349,group00076
AAA278I18.genome.CDS.1346,group00650
AAA278I18.genome.CDS.1347,group00996
AAA278I18.genome.CDS.1344,group00270
AAA278I18.genome.CDS.1345,group00726
AAA278I18.genome.CDS.1342,group00883
AAA278I18.genome.CDS.1343,group00788
AAA278I18.genome.CDS.1340,group02618
AAA278I18.genome.CDS.1341,group00789
AAA278I18.genome.CDS.1747,group00708
AAA278I18.genome.CDS.1258,group01542
AAA278I18.genome.CDS.1031,group00567
AAA278I18.genome.CDS.1582,group00090
AAA278I18.genome.CDS.1259,group01453
AAA278I18.genome.CDS.1468,group00154
AAA278I18.genome.CDS.1166,group00995
AAA278I18.genome.CDS.1167,group00119
AAA278I18.genome.CDS.1164,group00269
