,Annotations
group00015,"['None Provided']; ['None Provided', 'TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA']; ['TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA', 'None Provided', 'TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA']; ['TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA', 'None Provided']; ['TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA', 'TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA', 'TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA']; ['hypothetical protein']; ['hypothetical protein', 'TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA']; ['None Provided', 'None Provided']; ['TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA', 'TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA']; ['TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA', 'None Provided']; ['TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA', 'TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA']; ['TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA']; ['TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA']"
group00016,"['Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)', 'Urea ABC transporter, ATPase protein UrtE', 'Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)']; ['Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)']; ['Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)', 'Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)']; ['Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)']"
group00017,"['None Provided']; ['Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)']; ['HtrA protease/chaperone protein', 'hypothetical protein']; ['hypothetical protein', 'HtrA protease/chaperone protein']; ['putative protease']; ['None Provided', 'HtrA protease/chaperone protein']; ['HtrA protease/chaperone protein', 'None Provided']; ['HtrA protease/chaperone protein', 'HtrA protease/chaperone protein']; ['HtrA protease/chaperone protein']; ['putative protease', 'HtrA protease/chaperone protein', 'Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)']; ['None Provided', 'None Provided']; ['putative protease', 'hypothetical protein']; ['putative protease', 'HtrA protease/chaperone protein']; ['hypothetical protein']"
group00018,"['Cytosol aminopeptidase PepA (EC 3.4.11.1)', 'Cytosol aminopeptidase PepA (EC 3.4.11.1)']; ['Cytosol aminopeptidase PepA (EC 3.4.11.1)', 'Cytosol aminopeptidase PepA (EC 3.4.11.1)', 'Cytosol aminopeptidase PepA (EC 3.4.11.1)']; ['Cytosol aminopeptidase PepA (EC 3.4.11.1)']"
group00019,"['Ammonium transporter']; ['Ammonium transporter', 'Ammonium transporter']"
group00020,"['Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)', 'Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)']; ['Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)']; ['Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)', 'Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)']; ['Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)', 'Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)']; ['Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)']; ['ABC transporter ATP-binding protein']; ['Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)']; ['Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)', 'Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)', 'Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)']; ['None Provided', 'Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)']; ['Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)', 'Nickel transport ATP-binding protein NikD (TC 3.A.1.5.3)']"
group00021,"['Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)']; ['Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)', 'hypothetical protein']; ['Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)']; ['Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)', 'Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)']; ['Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)', 'Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)']; ['hypothetical protein']"
group00022,['RNA polymerase sigma factor RpoD']
group00023,"['1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.103)', '1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.103)']; ['1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.103)']; ['1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.103)', 'Mycothiol S-conjugate amidase Mca']"
group00024,"['Alkyl hydroperoxide reductase subunit C-like protein', 'Alkyl hydroperoxide reductase subunit C-like protein']; ['Alkyl hydroperoxide reductase subunit C-like protein']"
group00025,"['Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)', 'hypothetical protein']; ['Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)', 'None Provided']; ['Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)']; ['Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)', 'Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)']; ['Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)', 'Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases']; ['Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)', 'Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)', 'Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)']"
group00026,"['Serine/threonine protein kinase PrkC, regulator of stationary phase']; ['Serine/threonine protein kinase PrkC, regulator of stationary phase', 'Serine/threonine protein kinase PrkC, regulator of stationary phase']"
group00027,"['D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)']; ['D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)', 'D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)']; ['D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)', 'D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)', 'D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)']"
group00028,"['Rod shape-determining protein MreB']; ['Rod shape-determining protein MreB', 'Rod shape-determining protein MreB']"
group00029,"['None Provided']; ['RND multidrug efflux transporter; Acriflavin resistance protein', 'hypothetical protein']; ['hypothetical protein', 'None Provided', 'hypothetical protein']; ['hypothetical protein', 'putative integral membrane export protein']; ['hypothetical protein', 'hypothetical protein']; ['Integral membrane protein']; ['hypothetical protein', 'transporter, putative']; ['hypothetical protein']"
group00030,"['DNA polymerase III alpha subunit (EC 2.7.7.7)']; ['DNA polymerase III alpha subunit (EC 2.7.7.7)', 'DNA polymerase III alpha subunit (EC 2.7.7.7)']"
group00031,"['Transketolase, N-terminal section (EC 2.2.1.1)']; ['Transketolase (EC 2.2.1.1)', 'Transketolase, N-terminal section (EC 2.2.1.1)']; ['Transketolase (EC 2.2.1.1)', 'diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)']; ['Transketolase (EC 2.2.1.1)', 'Transketolase (EC 2.2.1.1)']; ['Transketolase (EC 2.2.1.1)']"
group00032,"['Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)', 'Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)']; ['Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)']; ['Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)', 'Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)']; ['Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)']"
group00033,"['O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)']; ['O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)', 'O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)']; ['O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)', 'O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)', 'O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)']"
group00034,"['Cytochrome c oxidase polypeptide I (EC 1.9.3.1)', 'Cytochrome c oxidase polypeptide I (EC 1.9.3.1)', 'Cytochrome c oxidase polypeptide I (EC 1.9.3.1)']; ['Cytochrome c oxidase polypeptide I (EC 1.9.3.1)']; ['Cytochrome c oxidase polypeptide I (EC 1.9.3.1)', 'Cytochrome c oxidase polypeptide I (EC 1.9.3.1)']"
group00035,"['2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)', '2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)']; ['2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)']; ['2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)', '2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)', 'None Provided']"
group00036,"['None Provided', 'Threonine dehydrogenase and related Zn-dependent dehydrogenases']; ['hypothetical protein', 'Threonine dehydrogenase and related Zn-dependent dehydrogenases', 'Sorbitol dehydrogenase (EC 1.1.1.14)', 'Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)', 'hypothetical protein']; ['None Provided']; ['None Provided', 'L-idonate 5-dehydrogenase (EC 1.1.1.264)', 'Threonine dehydrogenase and related Zn-dependent dehydrogenases']; ['L-threonine 3-dehydrogenase (EC 1.1.1.103)']; ['Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)']; ['Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)', 'Threonine dehydrogenase and related Zn-dependent dehydrogenases', 'Threonine dehydrogenase and related Zn-dependent dehydrogenases', 'hypothetical protein']; ['2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)']; ['Sorbitol dehydrogenase (EC 1.1.1.14)', 'None Provided']; ['Sorbitol dehydrogenase (EC 1.1.1.14)']; ['Threonine dehydrogenase and related Zn-dependent dehydrogenases', 'L-threonine 3-dehydrogenase (EC 1.1.1.103)']; ['Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)', 'hypothetical protein']; ['None Provided', 'L-idonate 5-dehydrogenase (EC 1.1.1.264)']; ['Alcohol dehydrogenase (EC 1.1.1.1)', 'None Provided', 'Sorbitol dehydrogenase (EC 1.1.1.14)', 'Sorbitol dehydrogenase (EC 1.1.1.14)', 'Sorbitol dehydrogenase (EC 1.1.1.14)', 'Xylitol dehydrogenase (EC 1.1.1.9)']; ['L-idonate 5-dehydrogenase (EC 1.1.1.264)']; ['Xylitol dehydrogenase (EC 1.1.1.9)', 'Sorbitol dehydrogenase (EC 1.1.1.14)']; ['hypothetical protein']; ['Alcohol dehydrogenase (EC 1.1.1.1)', 'hypothetical protein']; ['None Provided', 'L-threonine 3-dehydrogenase (EC 1.1.1.103)']"
group00037,"['Aspartate aminotransferase (EC 2.6.1.1)']; ['Aspartate aminotransferase (EC 2.6.1.1)', 'Aspartate aminotransferase (EC 2.6.1.1)']"
group00038,"['None Provided']; ['DNA-binding response regulator', 'None Provided']; ['DNA-binding response regulator', 'DNA-binding response regulator', 'Phosphate regulon transcriptional regulatory protein PhoB (SphR)']; ['Phosphate regulon transcriptional regulatory protein PhoB (SphR)']; ['DNA-binding response regulator', 'Phosphate regulon transcriptional regulatory protein PhoB (SphR)']; ['DNA-binding response regulator']; ['hypothetical protein']"
