,Annotation,Total,Confidence
group00046,"Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2",36,1.0
group00047,Aconitate hydratase (EC 4.2.1.3),42,0.9761904761904762
group00048,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5),36,1.0
group00049,"Nucleoside ABC transporter, periplasmic nucleoside-binding protein",48,0.5416666666666666
group00050,Glutamate synthase NADPH large chain (EC 1.4.1.13),38,1.0
group00051,Phosphate regulon transcriptional regulatory protein PhoB (SphR),22,1.0
group00052,Butyryl-CoA dehydrogenase (EC 1.3.8.1),26,0.7307692307692307
group00053,NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3),28,1.0
group00054,Valyl-tRNA synthetase (EC 6.1.1.9),33,1.0
group00055,Peptide chain release factor 1,39,0.9743589743589743
group00056,Lysyl-tRNA synthetase (class II) (EC 6.1.1.6),34,1.0
group00057,ATP-dependent DNA helicase UvrD/PcrA,33,1.0
group00058,NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3),32,0.78125
group00059,Alanyl-tRNA synthetase (EC 6.1.1.7),34,1.0
group00060,Succinyl-CoA ligase ADP-forming beta chain (EC 6.2.1.5),32,1.0
group00061,NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3),29,1.0
group00062,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)",32,1.0
group00063,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5),33,1.0
group00064,3-ketoacyl-CoA thiolase (EC 2.3.1.16),26,0.9230769230769231
group00065,"Phosphate starvation-inducible protein PhoH, predicted ATPase",33,0.9696969696969697
group00066,Chaperone protein DnaJ,30,1.0
group00067,Translation elongation factor LepA,35,1.0
group00068,1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7),37,0.9459459459459459
group00069,Acetyl-coenzyme A synthetase (EC 6.2.1.1),30,0.9666666666666667
group00070,Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17),31,0.967741935483871
group00071,Glycerol kinase (EC 2.7.1.30),29,0.6206896551724138
group00072,Cell division protein FtsI Peptidoglycan synthetase (EC 2.4.1.129),30,1.0
group00073,Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8),34,1.0
group00074,tRNA nucleotidyltransferase (EC 2.7.7.27),33,1.0
group00075,Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-),33,0.9696969696969697
group00076,Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168),35,0.9714285714285714
group00077,Nitrogen regulatory protein P-II,42,1.0
group00078,GTP-binding protein Obg,31,1.0
group00079,5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13),37,1.0
group00080,Excinuclease ABC subunit A,32,1.0
group00081,Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1),26,1.0
group00082,Dihydroorotase (EC 3.5.2.3),33,0.9696969696969697
group00083,NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3),29,1.0
group00084,tRNA-i(6)A37 methylthiotransferase,35,1.0
group00085,Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1),35,1.0
group00086,tRNA dimethylallyltransferase (EC 2.5.1.75),34,1.0
group00087,Thioredoxin reductase (EC 1.8.1.9),32,1.0
group00088,Isoleucyl-tRNA synthetase (EC 6.1.1.5),27,0.9629629629629629
group00089,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8),30,0.9333333333333333
group00090,None Provided,31,0.9032258064516129
group00091,Diaminopimelate decarboxylase (EC 4.1.1.20),32,1.0
group00092,Transcription termination factor Rho,34,1.0
group00093,"LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent",37,0.918918918918919
group00094,Phosphate transport system permease protein PstC (TC 3.A.1.7.1),26,1.0
group00095,Transcription termination protein NusB,32,1.0
group00096,Integral membrane protein TerC,39,1.0
group00097,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10),32,0.96875
group00098,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13),31,1.0
group00099,4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7),31,1.0
group00100,Ribonuclease J2 (endoribonuclease in RNA processing),34,0.9705882352941176
group00101,"Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)",34,1.0
group00102,"D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)",27,0.37037037037037035
group00103,Thioredoxin,31,1.0
group00104,Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23),32,1.0
group00105,Cysteine desulfurase (EC 2.8.1.7),28,1.0
group00106,Histidyl-tRNA synthetase (EC 6.1.1.21),33,1.0
group00107,Glycine dehydrogenase decarboxylating (glycine cleavage system P protein) (EC 1.4.4.2),33,0.9393939393939394
group00108,Membrane alanine aminopeptidase N (EC 3.4.11.2),33,0.9090909090909091
group00109,D-alanine--D-alanine ligase (EC 6.3.2.4),32,1.0
group00110,None Provided,36,0.8055555555555556
group00111,"Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type",31,1.0
group00112,Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1),30,1.0
group00113,UPF0182 protein AF1421,32,0.53125
group00114,Tryptophanyl-tRNA synthetase (EC 6.1.1.2),29,1.0
group00115,Cell division protein FtsW,30,1.0
group00116,Leucyl-tRNA synthetase (EC 6.1.1.4),30,1.0
group00117,DNA primase (EC 2.7.7.-),30,0.9666666666666667
group00118,Serine hydroxymethyltransferase (EC 2.1.2.1),30,1.0
group00119,Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-),29,1.0
group00120,Phosphopantetheine adenylyltransferase (EC 2.7.7.3),35,1.0
group00121,Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25),32,0.9375
group00122,UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9),30,1.0
group00123,Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1),30,1.0
group00124,Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7),30,1.0
group00125,"COG1399 protein, clustered with ribosomal protein L32p",34,0.7941176470588235
group00126,Magnesium and cobalt efflux protein CorC,30,1.0
group00127,None Provided,32,0.5625
group00128,Transcription-repair coupling factor,30,1.0
group00129,Uracil phosphoribosyltransferase (EC 2.4.2.9) / Pyrimidine operon regulatory protein PyrR,33,1.0
group00130,PFIG00823557: AC2 (Proteasome assembly chaperone) family,7,0.8571428571428571
group00131,DNA translocase FtsK,33,0.9393939393939394
group00132,None Provided,32,0.6875
group00133,"ABC transporter, ATP-binding/permease protein",30,0.6333333333333333
group00134,Phosphatidate cytidylyltransferase (EC 2.7.7.41),30,1.0
group00135,None Provided,27,0.5555555555555556
group00136,"GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I",30,1.0
group00137,NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3),28,1.0
group00138,"Cysteine desulfurase (EC 2.8.1.7), SufS subfamily",33,0.7878787878787878
group00139,Glutamate synthase NADPH small chain (EC 1.4.1.13),30,1.0
group00140,"Protein serine/threonine phosphatase PrpC, regulation of stationary phase",36,0.9166666666666666
group00141,DNA polymerase I (EC 2.7.7.7),32,1.0
group00142,ABC transporter ATP-binding protein,33,1.0
group00143,Deoxyuridine 5-triphosphate nucleotidohydrolase (EC 3.6.1.23),36,1.0
group00144,None Provided,30,0.36666666666666664
group00145,UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8),28,1.0
group00146,"Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly",31,1.0
group00147,Heat-inducible transcription repressor HrcA,30,1.0
group00148,Homoserine kinase (EC 2.7.1.39),32,1.0
group00149,HNH endonuclease family protein,33,0.9696969696969697
group00150,Aspartate carbamoyltransferase (EC 2.1.3.2),32,1.0
group00151,Translation elongation factor P,30,1.0
group00152,Succinyl-CoA ligase ADP-forming alpha chain (EC 6.2.1.5),30,1.0
group00153,Seryl-tRNA synthetase (EC 6.1.1.11),32,1.0
group00154,hypothetical protein,28,0.8571428571428571
group00155,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5),31,1.0
group00156,Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7),32,1.0
group00157,FIG004453: protein YceG like,31,1.0
group00158,Putative Holliday junction resolvase YqgF,31,0.5806451612903226
group00159,Ribosome recycling factor,30,1.0
group00160,Uridine monophosphate kinase (EC 2.7.4.22),29,1.0
group00161,Cell division protein FtsH (EC 3.4.24.-),31,0.967741935483871
group00162,FIG005666: putative helicase,33,1.0
group00163,DNA polymerase III delta subunit (EC 2.7.7.7),29,0.9655172413793104
group00164,LSU ribosomal protein L21p,29,1.0
group00165,ATP-dependent Clp protease ATP-binding subunit ClpX,30,1.0
group00166,Ribonuclease III (EC 3.1.26.3),34,1.0
group00167,Ribose 5-phosphate isomerase B (EC 5.3.1.6) / Galactose 6-phosphate isomerase,27,0.9259259259259259
group00168,Glutamate 5-kinase (EC 2.7.2.11) / RNA-binding C-terminal domain PUA,31,1.0
group00169,Pyrroline-5-carboxylate reductase (EC 1.5.1.2),30,1.0
group00170,tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31),30,1.0
group00171,Chromosome (plasmid) partitioning protein ParB,30,0.9
group00172,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227),29,1.0
group00173,None Provided,16,0.4375
group00174,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),30,1.0
group00175,Arginyl-tRNA synthetase (EC 6.1.1.19),31,1.0
group00176,Ribosomal-protein-S5p-alanine acetyltransferase,30,0.7333333333333333
group00177,Phosphate transport system regulatory protein PhoU,25,1.0
group00178,Polyphosphate kinase (EC 2.7.4.1),24,1.0
group00179,Methionine ABC transporter ATP-binding protein,34,0.4411764705882353
group00180,"ABC-type multidrug transport system, permease component",34,0.38235294117647056
group00181,Xaa-Pro aminopeptidase (EC 3.4.11.9),30,0.9666666666666667
group00182,Rod shape-determining protein RodA,32,1.0
group00183,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100),22,0.9090909090909091
group00184,"Anthranilate synthase, aminase component (EC 4.1.3.27)",27,1.0
group00185,Cell division inhibitor,32,1.0
group00186,Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24),33,1.0
group00187,Solanesyl diphosphate synthase (EC 2.5.1.11),31,1.0
group00188,Diaminopimelate epimerase (EC 5.1.1.7),31,0.967741935483871
group00189,23S rRNA (Uracil-5-) -methyltransferase RumA (EC 2.1.1.-),34,0.47058823529411764
group00190,SSU ribosomal protein S20p,29,1.0
group00191,"Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)",29,0.9310344827586207
group00192,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33),32,1.0
group00193,GTP-binding protein HflX,31,0.967741935483871
group00194,NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3),30,0.9333333333333333
group00195,LSU ribosomal protein L27p,29,1.0
group00196,SSU ribosomal protein S16p,31,1.0
group00197,GTP-binding protein Era,29,1.0
group00198,Homoserine dehydrogenase (EC 1.1.1.3),30,1.0
group00199,"Transcriptional regulator, TetR family",27,1.0
group00200,Preprotein translocase subunit SecG (TC 3.A.5.1.1),30,0.9666666666666667
group00201,Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11),29,1.0
group00202,FIG000859: hypothetical protein YebC,28,1.0
group00203,"Anthranilate synthase, amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)",32,0.9375
group00204,Acetolactate synthase large subunit (EC 2.2.1.6),31,1.0
group00205,RecA protein,33,1.0
group00206,Tryptophan synthase beta chain (EC 4.2.1.20),28,0.9642857142857143
group00207,FIG001943: hypothetical protein YajQ,31,0.6774193548387096
group00208,3-dehydroquinate dehydratase II (EC 4.2.1.10),29,1.0
group00209,N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),33,0.9696969696969697
group00210,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63),32,0.6875
group00211,Cell division protein FtsI Peptidoglycan synthetase (EC 2.4.1.129),32,0.59375
group00212,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7),29,1.0
group00213,Signal peptidase I (EC 3.4.21.89),30,1.0
group00214,Single-stranded DNA-binding protein,26,1.0
group00215,LmbE family protein,29,0.4482758620689655
group00216,Replicative DNA helicase (DnaB) (EC 3.6.4.12),28,1.0
group00217,Tryptophan synthase alpha chain (EC 4.2.1.20),29,0.9655172413793104
group00218,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1),28,1.0
group00219,Translation elongation factor Ts,29,1.0
group00220,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148),29,0.9655172413793104
group00221,Prephenate dehydratase (EC 4.2.1.51),33,1.0
group00222,putative integral membrane protein,32,0.53125
group00223,"Trans,polycis-decaprenyl diphosphate synthase (EC 2.5.1.86)",26,1.0
group00224,"Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB",28,1.0
group00225,Branched-chain amino acid aminotransferase (EC 2.6.1.42),33,1.0
group00226,Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9),30,1.0
group00227,Guanylate kinase (EC 2.7.4.8),32,0.96875
group00228,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),30,1.0
group00229,Sensor histidine kinase MtrB (EC 2.7.3.-),27,0.6666666666666666
group00230,DNA ligase (EC 6.5.1.2),26,1.0
group00231,Pantoate--beta-alanine ligase (EC 6.3.2.1),29,1.0
group00232,tRNA(Ile)-lysidine synthetase (EC 6.3.4.19),31,0.967741935483871
group00233,O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26),30,1.0
group00234,5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19),29,1.0
group00235,Triosephosphate isomerase (EC 5.3.1.1),31,1.0
group00236,Glutamate transport ATP-binding protein,23,0.391304347826087
group00237,Ribose-phosphate pyrophosphokinase (EC 2.7.6.1),29,1.0
group00238,Transcription elongation factor GreA,32,1.0
group00239,4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8),27,1.0
group00240,3-isopropylmalate dehydrogenase (EC 1.1.1.85),31,1.0
group00241,DNA recombination and repair protein RecO,25,1.0
group00242,Pyruvate dehydrogenase E1 component (EC 1.2.4.1),30,0.9666666666666667
group00243,Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70),27,1.0
group00244,Cell division protein FtsZ (EC 3.4.24.-),27,1.0
group00245,Site-specific tyrosine recombinase XerC,31,0.9354838709677419
group00246,3-isopropylmalate dehydratase small subunit (EC 4.2.1.33),31,1.0
group00247,Inositol-1-monophosphatase (EC 3.1.3.25),21,1.0
group00248,rRNA small subunit methyltransferase H,28,1.0
group00249,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267),28,1.0
group00250,SSU ribosomal protein S2p (SAe),30,1.0
group00251,Putative deoxyribonuclease YcfH,28,1.0
group00252,Peptide deformylase (EC 3.5.1.88),29,1.0
group00253,Hemoglobin-like protein HbO,31,1.0
group00254,Phosphate transport system permease protein PstA (TC 3.A.1.7.1),27,0.9629629629629629
group00255,Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14) / Biotin carboxyl carrier protein of acetyl-CoA carboxylase,20,0.9
group00256,Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1),27,0.9259259259259259
group00257,Protein-export membrane protein SecD (TC 3.A.5.1.1),27,1.0
group00258,Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-),31,1.0
group00259,hypothetical protein,27,0.7777777777777778
group00260,FIG004853: possible toxin to DivIC,30,0.9666666666666667
group00261,Transaldolase (EC 2.2.1.2),26,1.0
group00262,Nucleoside diphosphate kinase (EC 2.7.4.6),27,1.0
group00263,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2),29,1.0
group00264,Adenylosuccinate synthetase (EC 6.3.4.4),25,1.0
group00265,NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3),29,1.0
group00266,Deoxyribodipyrimidine photolyase (EC 4.1.99.3),31,1.0
group00267,Phosphomannomutase (EC 5.4.2.8),27,1.0
group00268,Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20),28,1.0
group00269,ATP synthase F0 sector subunit a (EC 3.6.3.14),27,1.0
group00270,Lipoate synthase,33,1.0
group00271,None Provided,35,0.7142857142857143
group00272,ATP synthase beta chain (EC 3.6.3.14),29,1.0
group00273,3-dehydroquinate synthase (EC 4.2.3.4),28,1.0
group00274,Chorismate synthase (EC 4.2.3.5),28,1.0
group00275,4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19),27,1.0
group00276,Ribonuclease D (EC 3.1.26.3),34,0.9411764705882353
group00277,None Provided,32,0.34375
group00278,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54),32,1.0
group00279,Peptidyl-tRNA hydrolase (EC 3.1.1.29),28,1.0
group00280,"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-dependent",26,0.9230769230769231
group00281,SSU ribosomal protein S6p,24,1.0
group00282,Glucosamine--fructose-6-phosphate aminotransferase isomerizing (EC 2.6.1.16),26,0.9615384615384616
group00283,NAD synthetase (EC 6.3.1.5) / Glutamine amidotransferase chain of NAD synthetase,24,1.0
group00284,"Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)",28,1.0
group00285,hypothetical protein,30,0.7333333333333333
group00286,Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster,29,0.7931034482758621
group00287,SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182),28,1.0
group00288,Aspartokinase (EC 2.7.2.4),27,1.0
group00289,"TsaE protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA",28,1.0
group00290,Undecaprenyl-diphosphatase (EC 3.6.1.27),27,0.8888888888888888
group00291,Excinuclease ABC subunit B,29,1.0
group00292,Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7),28,1.0
group00293,FIG005453: Putative DeoR-family transcriptional regulator,31,0.967741935483871
group00294,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),29,1.0
group00295,KH domain RNA binding protein YlqC,28,1.0
group00296,S-adenosylmethionine synthetase (EC 2.5.1.6),32,1.0
group00297,DNA-directed RNA polymerase omega subunit (EC 2.7.7.6),31,1.0
group00298,rRNA small subunit 7-methylguanosine (m7G) methyltransferase GidB,27,1.0
group00299,Hydroxyacylglutathione hydrolase (EC 3.1.2.6),31,0.8709677419354839
group00300,NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3),29,1.0
group00301,Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3),24,1.0
group00302,None Provided,25,0.56
group00303,Sporulation regulatory protein WhiB,26,1.0
group00304,DNA repair protein RecN,26,1.0
group00305,Ribosome small subunit-stimulated GTPase EngC,32,1.0
group00306,"Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)",26,1.0
group00307,Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16) @ Acting phosphoribosylanthranilate isomerase (EC 5.3.1.24),30,0.7666666666666667
group00308,Putative sugar kinase,30,0.7333333333333333
group00309,Shikimate kinase I (EC 2.7.1.71),28,0.7142857142857143
group00310,None Provided,20,0.5
group00311,"ATP-dependent DNA helicase UvrD/PcrA, actinomycete paralog",32,0.96875
group00312,"Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC",28,0.9285714285714286
group00313,Twin-arginine translocation protein TatC,29,1.0
group00314,FIG019733: possible DNA-binding protein,31,0.5483870967741935
group00315,Isochorismate synthase (EC 5.4.4.2) @ Menaquinone-specific isochorismate synthase (EC 5.4.4.2),30,1.0
group00316,Sporulation regulatory protein WhiD,20,0.9
group00317,Glycerol-3-phosphate dehydrogenase NAD(P)+ (EC 1.1.1.94),32,1.0
group00318,Translation initiation factor 2,26,1.0
group00319,Glycyl-tRNA synthetase (EC 6.1.1.14),28,1.0
group00320,Indole-3-glycerol phosphate synthase (EC 4.1.1.48),28,0.9285714285714286
group00321,Lipoprotein signal peptidase (EC 3.4.23.36),27,1.0
group00322,LSU ribosomal protein L25p,27,1.0
group00323,Iron-sulfur cluster assembly ATPase protein SufC,27,1.0
group00324,Geranylgeranyl diphosphate synthase (EC 2.5.1.29),36,0.9166666666666666
group00325,"Kinase-Associated Endopeptidase (Kae1), required for threonylcarbamoyladenosine t(6)A37 formation in tRNA",29,1.0
group00326,None Provided,27,0.48148148148148145
group00327,"ABC transporter, ATP-binding protein",36,0.75
group00328,Methionine aminopeptidase (EC 3.4.11.18),21,1.0
group00329,Ketol-acid reductoisomerase (EC 1.1.1.86),29,1.0
group00330,Ribonuclease HII (EC 3.1.26.4),28,1.0
group00331,hypothetical protein,32,0.5
group00332,FIG00820755: hypothetical protein,31,0.8709677419354839
group00333,hypothetical protein,31,0.7096774193548387
group00334,16S rRNA processing protein RimM,28,1.0
group00335,None Provided,34,0.6470588235294118
group00336,"LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-dependent",31,0.9354838709677419
group00337,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98),25,0.96
group00338,None Provided,33,0.5454545454545454
group00339,type II secretion system protein E,18,0.9444444444444444
group00340,DNA repair protein RadA,30,1.0
group00341,Dihydropteroate synthase (EC 2.5.1.15),28,1.0
group00342,Alanine racemase (EC 5.1.1.1),25,1.0
group00343,Thiol:disulfide oxidoreductase related to ResA,30,0.9
group00344,CTP synthase (EC 6.3.4.2),24,1.0
group00345,Peptide chain release factor 2,28,1.0
group00346,"Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)",27,1.0
group00347,Cell division protein FtsX,27,1.0
group00348,NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3),25,1.0
group00349,NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3),28,1.0
group00350,Adenosylhomocysteinase (EC 3.3.1.1),26,1.0
group00351,D-glycero-D-manno-heptose 1-phosphate guanosyltransferase,29,0.5172413793103449
group00352,Methylmalonate-semialdehyde dehydrogenase inositol (EC 1.2.1.27),30,0.9666666666666667
group00353,None Provided,41,0.4146341463414634
group00354,Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-),31,1.0
group00355,hypothetical protein,31,0.5806451612903226
group00356,L-lactate dehydrogenase (EC 1.1.2.3),31,1.0
group00357,Threonyl-tRNA synthetase (EC 6.1.1.3),24,1.0
group00358,Demethylmenaquinone methyltransferase (EC 2.1.1.163),27,0.9629629629629629
group00359,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9),30,1.0
group00360,L-cysteine:1D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase MshC,29,1.0
