,Annotation
group00056,Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)
group00057,ATP-dependent DNA helicase UvrD/PcrA
group00058,NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)
group00059,Alanyl-tRNA synthetase (EC 6.1.1.7)
group00060,Succinyl-CoA ligase ADP-forming beta chain (EC 6.2.1.5)
group00061,NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)
group00062,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)"
group00063,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)
group00064,3-ketoacyl-CoA thiolase (EC 2.3.1.16)
group00065,"Phosphate starvation-inducible protein PhoH, predicted ATPase"
group00066,Chaperone protein DnaJ
group00067,Translation elongation factor LepA
group00068,1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)
group00069,Acetyl-coenzyme A synthetase (EC 6.2.1.1)
group00070,Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)
group00071,Glycerol kinase (EC 2.7.1.30)
group00072,Cell division protein FtsI Peptidoglycan synthetase (EC 2.4.1.129)
group00073,Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)
group00074,tRNA nucleotidyltransferase (EC 2.7.7.27)
group00075,Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)
group00076,Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)
group00077,Nitrogen regulatory protein P-II
group00078,GTP-binding protein Obg
group00079,5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)
group00080,Excinuclease ABC subunit A
group00081,Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
group00082,Dihydroorotase (EC 3.5.2.3)
group00083,NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)
group00084,tRNA-i(6)A37 methylthiotransferase
group00085,Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)
group00086,tRNA dimethylallyltransferase (EC 2.5.1.75)
group00087,Thioredoxin reductase (EC 1.8.1.9)
group00088,Isoleucyl-tRNA synthetase (EC 6.1.1.5)
group00089,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)
group00090,None Provided
group00091,Diaminopimelate decarboxylase (EC 4.1.1.20)
group00092,Transcription termination factor Rho
group00093,"LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-dependent"
group00094,Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
group00095,Transcription termination protein NusB
group00096,Integral membrane protein TerC
group00097,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)
group00098,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)
group00099,4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)
group00100,Ribonuclease J2 (endoribonuclease in RNA processing)
group00101,"Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)"
group00102,"D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)"
group00103,Thioredoxin
group00104,Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)
group00105,Cysteine desulfurase (EC 2.8.1.7)
group00106,Histidyl-tRNA synthetase (EC 6.1.1.21)
group00107,Glycine dehydrogenase decarboxylating (glycine cleavage system P protein) (EC 1.4.4.2)
group00108,Membrane alanine aminopeptidase N (EC 3.4.11.2)
group00109,D-alanine--D-alanine ligase (EC 6.3.2.4)
group00110,None Provided
group00111,"Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type"
group00112,Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)
group00113,UPF0182 protein AF1421
group00114,Tryptophanyl-tRNA synthetase (EC 6.1.1.2)
group00115,Cell division protein FtsW
group00116,Leucyl-tRNA synthetase (EC 6.1.1.4)
group00117,DNA primase (EC 2.7.7.-)
group00118,Serine hydroxymethyltransferase (EC 2.1.2.1)
group00119,Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)
group00120,Phosphopantetheine adenylyltransferase (EC 2.7.7.3)
group00121,Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)
group00122,UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)
group00123,Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
group00124,Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)
group00125,"COG1399 protein, clustered with ribosomal protein L32p"
group00126,Magnesium and cobalt efflux protein CorC
group00127,None Provided
group00128,Transcription-repair coupling factor
group00129,Uracil phosphoribosyltransferase (EC 2.4.2.9) / Pyrimidine operon regulatory protein PyrR
group00130,PFIG00823557: AC2 (Proteasome assembly chaperone) family
group00131,DNA translocase FtsK
group00132,None Provided
group00133,"ABC transporter, ATP-binding/permease protein"
group00134,Phosphatidate cytidylyltransferase (EC 2.7.7.41)
group00135,None Provided
group00136,"GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I"
group00137,NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)
group00138,"Cysteine desulfurase (EC 2.8.1.7), SufS subfamily"
group00139,Glutamate synthase NADPH small chain (EC 1.4.1.13)
group00140,"Protein serine/threonine phosphatase PrpC, regulation of stationary phase"
group00141,DNA polymerase I (EC 2.7.7.7)
group00142,ABC transporter ATP-binding protein
group00143,Deoxyuridine 5-triphosphate nucleotidohydrolase (EC 3.6.1.23)
group00144,None Provided
group00145,UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)
group00146,"Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly"
group00147,Heat-inducible transcription repressor HrcA
group00148,Homoserine kinase (EC 2.7.1.39)
group00149,HNH endonuclease family protein
group00150,Aspartate carbamoyltransferase (EC 2.1.3.2)
group00151,Translation elongation factor P
group00152,Succinyl-CoA ligase ADP-forming alpha chain (EC 6.2.1.5)
group00153,Seryl-tRNA synthetase (EC 6.1.1.11)
group00154,hypothetical protein
group00155,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
group00156,Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)
group00157,FIG004453: protein YceG like
group00158,Putative Holliday junction resolvase YqgF
group00159,Ribosome recycling factor
group00160,Uridine monophosphate kinase (EC 2.7.4.22)
group00161,Cell division protein FtsH (EC 3.4.24.-)
group00162,FIG005666: putative helicase
group00163,DNA polymerase III delta subunit (EC 2.7.7.7)
group00164,LSU ribosomal protein L21p
group00165,ATP-dependent Clp protease ATP-binding subunit ClpX
group00166,Ribonuclease III (EC 3.1.26.3)
group00167,Ribose 5-phosphate isomerase B (EC 5.3.1.6) / Galactose 6-phosphate isomerase
group00168,Glutamate 5-kinase (EC 2.7.2.11) / RNA-binding C-terminal domain PUA
group00169,Pyrroline-5-carboxylate reductase (EC 1.5.1.2)
group00170,tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)
group00171,Chromosome (plasmid) partitioning protein ParB
group00172,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)
group00173,None Provided
group00174,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)
group00175,Arginyl-tRNA synthetase (EC 6.1.1.19)
group00176,Ribosomal-protein-S5p-alanine acetyltransferase
group00177,Phosphate transport system regulatory protein PhoU
group00178,Polyphosphate kinase (EC 2.7.4.1)
group00179,Methionine ABC transporter ATP-binding protein
group00180,"ABC-type multidrug transport system, permease component"
group00181,Xaa-Pro aminopeptidase (EC 3.4.11.9)
group00182,Rod shape-determining protein RodA
group00183,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group00184,"Anthranilate synthase, aminase component (EC 4.1.3.27)"
group00185,Cell division inhibitor
group00186,Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)
group00187,Solanesyl diphosphate synthase (EC 2.5.1.11)
group00188,Diaminopimelate epimerase (EC 5.1.1.7)
group00189,23S rRNA (Uracil-5-) -methyltransferase RumA (EC 2.1.1.-)
group00190,SSU ribosomal protein S20p
group00191,"Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)"
group00192,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)
group00193,GTP-binding protein HflX
group00194,NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)
group00195,LSU ribosomal protein L27p
group00196,SSU ribosomal protein S16p
group00197,GTP-binding protein Era
group00198,Homoserine dehydrogenase (EC 1.1.1.3)
group00199,"Transcriptional regulator, TetR family"
group00200,Preprotein translocase subunit SecG (TC 3.A.5.1.1)
group00201,Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)
group00202,FIG000859: hypothetical protein YebC
group00203,"Anthranilate synthase, amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)"
group00204,Acetolactate synthase large subunit (EC 2.2.1.6)
group00205,RecA protein
group00206,Tryptophan synthase beta chain (EC 4.2.1.20)
group00207,FIG001943: hypothetical protein YajQ
group00208,3-dehydroquinate dehydratase II (EC 4.2.1.10)
group00209,N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)
group00210,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)
group00211,Cell division protein FtsI Peptidoglycan synthetase (EC 2.4.1.129)
group00212,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)
group00213,Signal peptidase I (EC 3.4.21.89)
group00214,Single-stranded DNA-binding protein
group00215,LmbE family protein
group00216,Replicative DNA helicase (DnaB) (EC 3.6.4.12)
group00217,Tryptophan synthase alpha chain (EC 4.2.1.20)
group00218,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)
group00219,Translation elongation factor Ts
group00220,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)
group00221,Prephenate dehydratase (EC 4.2.1.51)
group00222,putative integral membrane protein
group00223,"Trans,polycis-decaprenyl diphosphate synthase (EC 2.5.1.86)"
group00224,"Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB"
group00225,Branched-chain amino acid aminotransferase (EC 2.6.1.42)
group00226,Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)
group00227,Guanylate kinase (EC 2.7.4.8)
group00228,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)
group00229,Sensor histidine kinase MtrB (EC 2.7.3.-)
group00230,DNA ligase (EC 6.5.1.2)
group00231,Pantoate--beta-alanine ligase (EC 6.3.2.1)
group00232,tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
group00233,O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)
group00234,5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)
group00235,Triosephosphate isomerase (EC 5.3.1.1)
group00236,Glutamate transport ATP-binding protein
group00237,Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
group00238,Transcription elongation factor GreA
group00239,4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)
group00240,3-isopropylmalate dehydrogenase (EC 1.1.1.85)
group00241,DNA recombination and repair protein RecO
group00242,Pyruvate dehydrogenase E1 component (EC 1.2.4.1)
group00243,Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)
group00244,Cell division protein FtsZ (EC 3.4.24.-)
group00245,Site-specific tyrosine recombinase XerC
group00246,3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)
group00247,Inositol-1-monophosphatase (EC 3.1.3.25)
group00248,rRNA small subunit methyltransferase H
group00249,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)
group00250,SSU ribosomal protein S2p (SAe)
group00251,Putative deoxyribonuclease YcfH
group00252,Peptide deformylase (EC 3.5.1.88)
group00253,Hemoglobin-like protein HbO
group00254,Phosphate transport system permease protein PstA (TC 3.A.1.7.1)
group00255,Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14) / Biotin carboxyl carrier protein of acetyl-CoA carboxylase
group00256,Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)
group00257,Protein-export membrane protein SecD (TC 3.A.5.1.1)
group00258,Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)
group00259,hypothetical protein
group00260,FIG004853: possible toxin to DivIC
group00261,Transaldolase (EC 2.2.1.2)
group00262,Nucleoside diphosphate kinase (EC 2.7.4.6)
group00263,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)
group00264,Adenylosuccinate synthetase (EC 6.3.4.4)
group00265,NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)
group00266,Deoxyribodipyrimidine photolyase (EC 4.1.99.3)
group00267,Phosphomannomutase (EC 5.4.2.8)
group00268,Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
group00269,ATP synthase F0 sector subunit a (EC 3.6.3.14)
group00270,Lipoate synthase
group00271,None Provided
group00272,ATP synthase beta chain (EC 3.6.3.14)
group00273,3-dehydroquinate synthase (EC 4.2.3.4)
group00274,Chorismate synthase (EC 4.2.3.5)
group00275,4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)
group00276,Ribonuclease D (EC 3.1.26.3)
group00277,Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)
group00278,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)
group00279,Peptidyl-tRNA hydrolase (EC 3.1.1.29)
group00280,"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-dependent"
group00281,SSU ribosomal protein S6p
group00282,Glucosamine--fructose-6-phosphate aminotransferase isomerizing (EC 2.6.1.16)
group00283,NAD synthetase (EC 6.3.1.5) / Glutamine amidotransferase chain of NAD synthetase
group00284,"Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)"
group00285,hypothetical protein
group00286,Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster
group00287,SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)
group00288,Aspartokinase (EC 2.7.2.4)
group00289,"TsaE protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA"
group00290,Undecaprenyl-diphosphatase (EC 3.6.1.27)
group00291,Excinuclease ABC subunit B
group00292,Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
group00293,FIG005453: Putative DeoR-family transcriptional regulator
group00294,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)
group00295,KH domain RNA binding protein YlqC
group00296,S-adenosylmethionine synthetase (EC 2.5.1.6)
group00297,DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)
group00298,rRNA small subunit 7-methylguanosine (m7G) methyltransferase GidB
group00299,Hydroxyacylglutathione hydrolase (EC 3.1.2.6)
group00300,NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)
group00301,Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)
group00302,None Provided
group00303,Sporulation regulatory protein WhiB
group00304,DNA repair protein RecN
group00305,Ribosome small subunit-stimulated GTPase EngC
group00306,"Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)"
group00307,Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16) @ Acting phosphoribosylanthranilate isomerase (EC 5.3.1.24)
group00308,Putative sugar kinase
group00309,Shikimate kinase I (EC 2.7.1.71)
group00310,None Provided
group00311,"ATP-dependent DNA helicase UvrD/PcrA, actinomycete paralog"
group00312,"Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC"
group00313,Twin-arginine translocation protein TatC
group00314,FIG019733: possible DNA-binding protein
group00315,Isochorismate synthase (EC 5.4.4.2) @ Menaquinone-specific isochorismate synthase (EC 5.4.4.2)
group00316,Sporulation regulatory protein WhiD
group00317,Glycerol-3-phosphate dehydrogenase NAD(P)+ (EC 1.1.1.94)
group00318,Translation initiation factor 2
group00319,Glycyl-tRNA synthetase (EC 6.1.1.14)
group00320,Indole-3-glycerol phosphate synthase (EC 4.1.1.48)
group00321,Lipoprotein signal peptidase (EC 3.4.23.36)
group00322,LSU ribosomal protein L25p
group00323,Iron-sulfur cluster assembly ATPase protein SufC
group00324,Geranylgeranyl diphosphate synthase (EC 2.5.1.29)
group00325,"Kinase-Associated Endopeptidase (Kae1), required for threonylcarbamoyladenosine t(6)A37 formation in tRNA"
group00326,None Provided
group00327,"ABC transporter, ATP-binding protein"
group00328,Methionine aminopeptidase (EC 3.4.11.18)
group00329,Ketol-acid reductoisomerase (EC 1.1.1.86)
group00330,Ribonuclease HII (EC 3.1.26.4)
group00331,hypothetical protein
group00332,FIG00820755: hypothetical protein
group00333,hypothetical protein
group00334,16S rRNA processing protein RimM
group00335,None Provided
group00336,"LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-dependent"
group00337,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)
group00338,None Provided
group00339,type II secretion system protein E
group00340,DNA repair protein RadA
group00341,Dihydropteroate synthase (EC 2.5.1.15)
group00342,Alanine racemase (EC 5.1.1.1)
group00343,Thiol:disulfide oxidoreductase related to ResA
group00344,CTP synthase (EC 6.3.4.2)
group00345,Peptide chain release factor 2
group00346,"Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)"
group00347,Cell division protein FtsX
group00348,NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)
group00349,NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)
group00350,Adenosylhomocysteinase (EC 3.3.1.1)
group00351,D-glycero-D-manno-heptose 1-phosphate guanosyltransferase
group00352,Methylmalonate-semialdehyde dehydrogenase inositol (EC 1.2.1.27)
group00353,None Provided
group00354,Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)
group00355,hypothetical protein
group00356,L-lactate dehydrogenase (EC 1.1.2.3)
group00357,Threonyl-tRNA synthetase (EC 6.1.1.3)
group00358,Demethylmenaquinone methyltransferase (EC 2.1.1.163)
group00359,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)
group00360,L-cysteine:1D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase MshC
group00361,GMP synthase glutamine-hydrolyzing (EC 6.3.5.2)
group00362,Holliday junction DNA helicase RuvB
group00363,Phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57)
group00364,Excinuclease ABC subunit C
group00365,tRNA-specific 2-thiouridylase MnmA
group00366,Helicase PriA essential for oriC/DnaA-independent DNA replication
group00367,Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
group00368,Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)
group00369,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)
group00370,None Provided
group00371,LSU ribosomal protein L19p
group00372,Methionyl-tRNA synthetase (EC 6.1.1.10)
group00373,Dihydroxy-acid dehydratase (EC 4.2.1.9)
group00374,hypothetical protein
group00375,Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)
group00376,Methionyl-tRNA formyltransferase (EC 2.1.2.9)
group00377,tRNA (adenine(58)-N(1))-methyltransferase (EC 2.1.1.220)
group00378,NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)
group00379,SSU ribosomal protein S1p
group00380,ATP synthase gamma chain (EC 3.6.3.14)
group00381,Protein-export membrane protein SecF (TC 3.A.5.1.1)
group00382,hypothetical protein
group00383,Glycosyltransferase MshA involved in mycothiol biosynthesis (EC 2.4.1.-)
group00384,DNA polymerase III alpha subunit (EC 2.7.7.7)
group00385,"1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)"
group00386,Pyruvate kinase (EC 2.7.1.40)
group00387,NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)
group00388,ATP synthase delta chain (EC 3.6.3.14)
group00389,tRNA pseudouridine synthase B (EC 4.2.1.70)
group00390,DNA recombination protein RmuC
group00391,"Serine/threonine protein kinase PrkC, regulator of stationary phase"
group00392,Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)
group00393,Ornithine carbamoyltransferase (EC 2.1.3.3)
group00394,Holliday junction DNA helicase RuvA
group00395,Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)
group00396,2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)
group00397,GTP-binding protein TypA/BipA
group00398,Cell division protein MraZ
group00399,Cell division trigger factor (EC 5.2.1.8)
group00400,23S rRNA (guanosine(2251)-2-O)-methyltransferase (EC 2.1.1.185)
group00401,None Provided
group00402,Amino acid permease
group00403,ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)
group00404,LSU ribosomal protein L20p
group00405,Cytochrome oxidase assembly protein
group00406,Cytochrome c oxidase polypeptide III (EC 1.9.3.1)
group00407,Membrane-associated zinc metalloprotease
group00408,ATP synthase alpha chain (EC 3.6.3.14)
group00409,LSU ribosomal protein L9p
group00410,Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)
group00411,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)
group00412,Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)
group00413,NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)
group00414,Phosphoglycerate kinase (EC 2.7.2.3)
group00415,"transcriptional regulator, MerR family"
group00416,"Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)"
group00417,DNA topoisomerase I (EC 5.99.1.2)
group00418,DNA polymerase III delta prime subunit (EC 2.7.7.7)
group00419,Threonine synthase (EC 4.2.3.1)
group00420,Naphthoate synthase (EC 4.1.3.36)
group00421,Cytochrome c oxidase polypeptide II (EC 1.9.3.1)
group00422,NAD kinase (EC 2.7.1.23)
group00423,GTP-binding protein EngA
group00424,Acyl carrier protein
group00425,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)
group00426,Ribosome-binding factor A
group00427,Chaperone protein DnaK
group00428,"N-succinyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.17), type 2"
group00429,Exopolyphosphatase (EC 3.6.1.11)
group00430,Argininosuccinate synthase (EC 6.3.4.5)
group00431,Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2)
group00432,Cysteine synthase (EC 2.5.1.47)
group00433,Bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( NADPH:quinone reductase) (EC 1.1.1.-); Similar to arginate lyase
group00434,D-xylose transport ATP-binding protein XylG
group00435,Succinate-semialdehyde dehydrogenase NAD(P)+ (EC 1.2.1.16)
group00436,SSU ribosomal protein S15p (S13e)
group00437,(R)-citramalate synthase (EC 2.3.1.182)
group00438,Carbonic anhydrase (EC 4.2.1.1)
group00439,response regulator
group00440,Recombination protein RecR
group00441,None Provided
group00442,rRNA small subunit methyltransferase I
group00443,ATP synthase epsilon chain (EC 3.6.3.14)
group00444,"Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)"
group00445,Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)
